group,inactivity_rate
$10-15K,41.3
$100-150K,13.3
$15-20K,38.8
$150-200K,10.2
$20-25K,37.7
$25-35K,32.8
$35-50K,27.4
$50-75K,23.5
$75-100K,17.1
<$10K,38.7
>$200K,7.3
